person,role,project_id,project_name,month,project_alloc_pct,total_pct
BA2,,,KTLO,2026-02,0.15,0.15
BA2,,,KTLO,2026-03,0.15,0.65
BA2,BA,IT-123,User Experience Platform,2026-03,0.5,0.65
BA2,,,KTLO,2026-04,0.15,0.9833
BA2,BA,IT-123,User Experience Platform,2026-04,0.8333,0.9833
BA2,,,KTLO,2026-05,0.15,1.0
BA2,BA,IT-123,User Experience Platform,2026-05,0.0167,1.0
BA2,BA,IT-125,Service Catalog Redesign,2026-05,0.8333,1.0
BA2,,,KTLO,2026-06,0.15,0.9
BA2,BA,IT-125,Service Catalog Redesign,2026-06,0.5,0.9
BA2,BA,IT-141,Compliance Monitoring System,2026-06,0.25,0.9
BA2,,,KTLO,2026-07,0.15,1.0
BA2,BA,IT-125,Service Catalog Redesign,2026-07,0.4167,1.0
BA2,BA,IT-141,Compliance Monitoring System,2026-07,0.4333,1.0
BA2,,,KTLO,2026-08,0.15,1.0
BA2,BA,IT-125,Service Catalog Redesign,2026-08,0.3333,1.0
BA2,BA,IT-141,Compliance Monitoring System,2026-08,0.5167,1.0
BA2,,,KTLO,2026-09,0.15,1.0
BA2,BA,IT-125,Service Catalog Redesign,2026-09,0.2083,1.0
BA2,BA,IT-141,Compliance Monitoring System,2026-09,0.6417,1.0
BA2,,,KTLO,2026-10,0.15,0.8083
BA2,BA,IT-125,Service Catalog Redesign,2026-10,0.2083,0.8083
BA2,BA,IT-141,Compliance Monitoring System,2026-10,0.45,0.8083
BA2,,,KTLO,2026-11,0.15,0.9
BA2,BA,IT-141,Compliance Monitoring System,2026-11,0.25,0.9
BA2,BA,IT-143,ETL Pipeline Enhancement,2026-11,0.5,0.9
BA2,,,KTLO,2026-12,0.15,0.15
BA2,,,KTLO,2027-01,0.15,0.15
BA2,,,KTLO,2027-02,0.15,0.15
Brittany,,,KTLO,2025-11,0.15,0.55
Brittany,Planner,IT-116,Third-Party Integration Hub,2025-11,0.2,0.55
Brittany,Planner,IT-26,Workflow Automation Project,2025-11,0.2,0.55
Brittany,,,KTLO,2025-12,0.15,0.55
Brittany,Planner,IT-116,Third-Party Integration Hub,2025-12,0.2,0.55
Brittany,Planner,IT-26,Workflow Automation Project,2025-12,0.2,0.55
Brittany,,,KTLO,2026-01,0.15,0.55
Brittany,Planner,IT-116,Third-Party Integration Hub,2026-01,0.2,0.55
