person,role,project_id,project_name,month,project_alloc_pct,total_pct
Alice,,,KTLO,2025-01,0.1,0.5333
Alice,BA,P1,Billing Platform,2025-01,0.2333,0.5333
Alice,BA,P8,Sales CRM Data Cleanse,2025-01,0.2,0.5333
Alice,,,KTLO,2025-02,0.1,0.8333
Alice,BA,P1,Billing Platform,2025-02,0.5333,0.8333
Alice,BA,P8,Sales CRM Data Cleanse,2025-02,0.2,0.8333
Alice,,,KTLO,2025-03,0.1,0.8333
Alice,BA,P1,Billing Platform,2025-03,0.2333,0.8333
Alice,BA,P11,Cloud Security Assessment,2025-03,0.5,0.8333
Alice,,,KTLO,2025-04,0.1,0.8
Alice,BA,P3,Customer Insights Dashboard,2025-04,0.7,0.8
Alice,,,KTLO,2025-05,0.1,0.8
Alice,BA,P5,Subscription Billing Enhancements,2025-05,0.45,0.8
Alice,BA,P6,Procurement Workflow Tool,2025-05,0.25,0.8
Alice,,,KTLO,2025-06,0.1,0.8
Alice,BA,P5,Subscription Billing Enhancements,2025-06,0.45,0.8
Alice,BA,P6,Procurement Workflow Tool,2025-06,0.25,0.8
Alice,,,KTLO,2025-07,0.1,0.1
Alice,,,KTLO,2025-08,0.1,0.75
Alice,BA,P10,Finance Reporting Dashboard,2025-08,0.3,0.75
Alice,BA,P12,Learning Management System Pilot,2025-08,0.35,0.75
Alice,,,KTLO,2025-09,0.1,0.75
Alice,BA,P10,Finance Reporting Dashboard,2025-09,0.3,0.75
Alice,BA,P12,Learning Management System Pilot,2025-09,0.35,0.75
Alice,,,KTLO,2025-10,0.1,0.8
Alice,BA,P13,Product Catalog Revamp,2025-10,0.4,0.8
Alice,BA,P14,Vendor Risk Portal,2025-10,0.3,0.8
Alice,,,KTLO,2025-11,0.1,0.8
Alice,BA,P13,Product Catalog Revamp,2025-11,0.4,0.8
Alice,BA,P14,Vendor Risk Portal,2025-11,0.3,0.8
Alice,,,KTLO,2025-12,0.1,0.7333
Alice,BA,P15,Customer Feedback Analyzer,2025-12,0.4,0.7333
Alice,BA,P17,Legacy ERP Data Migration,2025-12,0.2333,0.7333
Alice,,,KTLO,2026-01,0.1,0.6333
Alice,BA,P17,Legacy ERP Data Migration,2026-01,0.5333,0.6333
Alice,,,KTLO,2026-02,0.1,0.9333
Alice,BA,P17,Legacy ERP Data Migration,2026-02,0.2333,0.9333
Alice,BA,P20,Marketing Attribution Model,2026-02,0.6,0.9333
Alice,,,KTLO,2026-03,0.1,0.7
Alice,BA,P18,Team Collaboration Hub,2026-03,0.35,0.7
Alice,BA,P19,Contract Renewal Tracker,2026-03,0.25,0.7
Alice,,,KTLO,2026-04,0.1,0.7
Alice,BA,P18,Team Collaboration Hub,2026-04,0.35,0.7
Alice,BA,P19,Contract Renewal Tracker,2026-04,0.25,0.7
Alice,,,KTLO,2026-05,0.1,0.1
Alice,,,KTLO,2026-06,0.1,0.1
Alice,,,KTLO,2026-07,0.1,0.1
Alice,,,KTLO,2026-08,0.1,0.1
Alice,,,KTLO,2026-09,0.1,0.1
Alice,,,KTLO,2026-10,0.1,0.1
Alice,,,KTLO,2026-11,0.1,0.1
Alice,,,KTLO,2026-12,0.1,0.1
Alice,,,KTLO,2027-01,0.1,0.1
Alice,,,KTLO,2027-02,0.1,0.1
Alice,,,KTLO,2027-03,0.1,0.1
Alice,,,KTLO,2027-04,0.1,0.1
Alice,,,KTLO,2027-05,0.1,0.1
Alice,,,KTLO,2027-06,0.1,0.1
Alice,,,KTLO,2027-07,0.1,0.1
Alice,,,KTLO,2027-08,0.1,0.1
Alice,,,KTLO,2027-09,0.1,0.1
Alice,,,KTLO,2027-10,0.1,0.1
Alice,,,KTLO,2027-11,0.1,0.1
Alice,,,KTLO,2027-12,0.1,0.1
Alice,,,KTLO,2028-01,0.1,0.1
Alice,,,KTLO,2028-02,0.1,0.1
Alice,,,KTLO,2028-03,0.1,0.1
Alice,,,KTLO,2028-04,0.1,0.1
Alice,,,KTLO,2028-05,0.1,0.1
Alice,,,KTLO,2028-06,0.1,0.1
Alice,,,KTLO,2028-07,0.1,0.1
Alice,,,KTLO,2028-08,0.1,0.1
Alice,,,KTLO,2028-09,0.1,0.1
Alice,,,KTLO,2028-10,0.1,0.1
Alice,,,KTLO,2028-11,0.1,0.1
Alice,,,KTLO,2028-12,0.1,0.1
Alice,,,KTLO,2029-01,0.1,0.1
Alice,,,KTLO,2029-02,0.1,0.1
Alice,,,KTLO,2029-03,0.1,0.1
Alice,,,KTLO,2029-04,0.1,0.1
Alice,,,KTLO,2029-05,0.1,0.1
Alice,,,KTLO,2029-06,0.1,0.1
Alice,,,KTLO,2029-07,0.1,0.1
Alice,,,KTLO,2029-08,0.1,0.1
Alice,,,KTLO,2029-09,0.1,0.1
Alice,,,KTLO,2029-10,0.1,0.1
Alice,,,KTLO,2029-11,0.1,0.1
Alice,,,KTLO,2029-12,0.1,0.1
Alice,,,KTLO,2030-01,0.1,0.1
Alice,,,KTLO,2030-02,0.1,0.1
Alice,,,KTLO,2030-03,0.1,0.1
Alice,,,KTLO,2030-04,0.1,0.1
Alice,,,KTLO,2030-05,0.1,0.1
Alice,,,KTLO,2030-06,0.1,0.1
Alice,,,KTLO,2030-07,0.1,0.1
Alice,,,KTLO,2030-08,0.1,0.1
Alice,,,KTLO,2030-09,0.1,0.1
Alice,,,KTLO,2030-10,0.1,0.1
Alice,,,KTLO,2030-11,0.1,0.1
Alice,,,KTLO,2030-12,0.1,0.1
Alice,,,KTLO,2031-01,0.1,0.1
Alice,,,KTLO,2031-02,0.1,0.1
Alice,,,KTLO,2031-03,0.1,0.1
Alice,,,KTLO,2031-04,0.1,0.1
Alice,,,KTLO,2031-05,0.1,0.1
Alice,,,KTLO,2031-06,0.1,0.1
Alice,,,KTLO,2031-07,0.1,0.1
Alice,,,KTLO,2031-08,0.1,0.1
Alice,,,KTLO,2031-09,0.1,0.1
Alice,,,KTLO,2031-10,0.1,0.1
Alice,,,KTLO,2031-11,0.1,0.1
Alice,,,KTLO,2031-12,0.1,0.1
Alice,,,KTLO,2032-01,0.1,0.1
Alice,,,KTLO,2032-02,0.1,0.1
Alice,,,KTLO,2032-03,0.1,0.1
Alice,,,KTLO,2032-04,0.1,0.1
Alice,,,KTLO,2032-05,0.1,0.1
Alice,,,KTLO,2032-06,0.1,0.1
Alice,,,KTLO,2032-07,0.1,0.1
Alice,,,KTLO,2032-08,0.1,0.1
Alice,,,KTLO,2032-09,0.1,0.1
Alice,,,KTLO,2032-10,0.1,0.1
Alice,,,KTLO,2032-11,0.1,0.1
Alice,,,KTLO,2032-12,0.1,0.1
Alice,,,KTLO,2033-01,0.1,0.1
Alice,,,KTLO,2033-02,0.1,0.1
Alice,,,KTLO,2033-03,0.1,0.1
Alice,,,KTLO,2033-04,0.1,0.1
Alice,,,KTLO,2033-05,0.1,0.1
Alice,,,KTLO,2033-06,0.1,0.1
Alice,,,KTLO,2033-07,0.1,0.1
Alice,,,KTLO,2033-08,0.1,0.1
Alice,,,KTLO,2033-09,0.1,0.1
Alice,,,KTLO,2033-10,0.1,0.1
Alice,,,KTLO,2033-11,0.1,0.1
Alice,,,KTLO,2033-12,0.1,0.1
Alice,,,KTLO,2034-01,0.1,0.1
Alice,,,KTLO,2034-02,0.1,0.1
Alice,,,KTLO,2034-03,0.1,0.1
Alice,,,KTLO,2034-04,0.1,0.1
Alice,,,KTLO,2034-05,0.1,0.1
Alice,,,KTLO,2034-06,0.1,0.1
Alice,,,KTLO,2034-07,0.1,0.1
Alice,,,KTLO,2034-08,0.1,0.1
Alice,,,KTLO,2034-09,0.1,0.1
Alice,,,KTLO,2034-10,0.1,0.1
Alice,,,KTLO,2034-11,0.1,0.1
Alice,,,KTLO,2034-12,0.1,0.1
Bob,,,KTLO,2025-01,0.2,0.6
Bob,Planner,P1,Billing Platform,2025-01,0.4,0.6
Bob,,,KTLO,2025-02,0.2,0.6
Bob,Planner,P1,Billing Platform,2025-02,0.4,0.6
Bob,,,KTLO,2025-03,0.2,0.6
Bob,Planner,P1,Billing Platform,2025-03,0.4,0.6
Bob,,,KTLO,2025-04,0.2,0.7
Bob,Planner,P3,Customer Insights Dashboard,2025-04,0.5,0.7
Bob,,,KTLO,2025-05,0.2,0.7
Bob,Planner,P5,Subscription Billing Enhancements,2025-05,0.5,0.7
Bob,,,KTLO,2025-06,0.2,0.7
Bob,Planner,P5,Subscription Billing Enhancements,2025-06,0.5,0.7
Bob,,,KTLO,2025-07,0.2,0.5
Bob,BA,P9,Content Delivery Network Migration,2025-07,0.3,0.5
Bob,,,KTLO,2025-08,0.2,0.55
Bob,Planner,P10,Finance Reporting Dashboard,2025-08,0.35,0.55
Bob,,,KTLO,2025-09,0.2,0.55
Bob,Planner,P10,Finance Reporting Dashboard,2025-09,0.35,0.55
Bob,,,KTLO,2025-10,0.2,0.7
Bob,Planner,P13,Product Catalog Revamp,2025-10,0.5,0.7
Bob,,,KTLO,2025-11,0.2,0.7
Bob,Planner,P13,Product Catalog Revamp,2025-11,0.5,0.7
Bob,,,KTLO,2025-12,0.2,0.7
